"","Country","Code","poverty_gap","public_health_exp","malnutrition_death_rates","Infant_mortality_rate","GDP_per_capita","annual_health_care_per_capita","life_exp","median_age_2010","fertility","lower_secondary","gov_expen","gross_enrol_secondary","gross_enrol_primary","gov_expen_ter_2010","grad_per_f","teritary_share_2010","men_earings","women_earnings","earnings_ratio_gap","men_employment","women_employmet","employment_ratio_gap","wage_gap","male_literacy_2011","female_literacy_2011","female_prp","female_top_managers_2013","homicide_Rate"
"96","Libya","LBY",NA,3.02,0.306616326,1.29,24956.37515,1148.51074,71.901,25.799999,2.39,NA,NA,NA,NA,NA,NA,11.89,NA,NA,6286000,51.3,25.3,6469497,NA,NA,NA,NA,NA,3.91128523
"97","Lithuania","LTU",15551737.5,4.34953944,0.032475196,0.42,24049.35398,1583.971811,73.706,40.599998,1.57,94.0968780517578,4.76686000823975,101.478462219238,99.5406723022461,1.24855005741119,27.2426700592041,15.6,NA,NA,3046000,53.62,47.04,3292454,NA,99.8454666137695,99.8666229248047,35.3,21,6.991620409
"98","Luxembourg","LUX",NA,5.98807092,0.397688435,0.23,89505.15896,6541.348173,80.955,38.900002,1.56,109.486976623535,4.09041023254395,100.226570129395,97.044548034668,NA,41.0526313781738,18.54,NA,NA,531000,62.73,48.82,523362,NA,NA,NA,17,NA,1.13956899
"99","Macedonia","MKD",6172843.5,4.42539678,0.019057958,0.92,11549.66814,803.0028492,75.019,35.700001,1.49,NA,NA,82.0343170166016,85.7572174072266,NA,38.5881309509277,NA,NA,NA,2074000,46.2,29.98,2066785,NA,NA,NA,23.3,25.7,1.778160115
"100","Madagascar","MDG",6064218515,1.8161053,66.01103562,3.9,1370.950275,48.34825107,64.28,18,4.44,33.3850898742676,2.73217010498047,38.0275917053223,145.18586730957,NA,NA,NA,NA,NA,22347000,93.36,90.74,21928518,NA,NA,NA,24.5,28.2,1.674379017
"101","Malawi","MWI",3635486505,6.76593456,17.08353186,4.92,1039.759359,91.98897678,58.629,16.700001,4.99,18.9148693084717,NA,34.4493789672852,140.161651611328,1.29812002182007,NA,0.15,NA,NA,15396000,NA,NA,15882815,NA,NA,NA,NA,NA,2.035414912
"102","Malaysia","MYS",4025074,2.21523329,0.309727651,0.64,22590.79152,901.8176385,74.877,26,2.11,88.063232421875,5.73902988433838,70.7941131591797,103.828430175781,1.71114003658295,45.8790092468262,5.81,6.73,6.9,29068000,NA,NA,29321798,NA,NA,NA,NA,NA,2.009712885
"103","Maldives","MDV",2975115,6.50292714,1.345136938,0.93,12611.58587,1156.968838,76.664,25,2.21,97.2763824462891,3.76038002967834,NA,NA,NA,NA,0.25,NA,NA,397000,NA,NA,324313,NA,NA,NA,NA,NA,0.876470158
"104","Mali","MLI",1814379084,1.67327338,25.27820472,7.47,1804.942604,101.1760025,56.135,16.200001,6.4,NA,3.47949004173279,NA,80.8540115356445,0.799440026283264,NA,0.78,NA,NA,15979000,NA,NA,16318897,NA,56.3150215148926,39.0085601806641,NA,NA,6.111397833
"105","Malta","MLT",NA,6.62523457,0.055898178,0.58,29131.73091,2959.790927,81.314,40.099998,1.41,92.4050598144531,6.52369022369385,85.8246688842773,90.6702117919922,1.57671999931335,24.9244709014893,10.52,NA,NA,422000,62.47,35.25,419212,NA,98.4039764404297,99.3865737915039,26.6,NA,1.22677524
"106","Marshall Islands","MHL",NA,13.90652174,7.160834557,3.11,3626.424778,620.7890145,71.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57000,NA,NA,55717,NA,98.1697235107422,98.7566986083984,NA,NA,6.633415426
"107","Mauritania","MRT",51380028,1.37024701,8.042924546,5.97,3462.56176,119.3428677,63.079,19.200001,4.9,19.8079605102539,2.77579998970032,26.6236705780029,95.8698196411133,0.677320003509521,NA,0.97,NA,NA,3707000,58,25,3622961,NA,NA,NA,NA,NA,4.017465587
"108","Mauritius","MUS",961191,2.29270279,1.055400425,1.31,17093.32093,804.5865808,73.96,32.900002,1.51,81.0235977172852,3.41820001602173,91.8419189453125,103.176071166992,0.342350006103516,NA,1.88,NA,NA,1253000,71.66,38.69,1313803,NA,97.6891479492188,98.5759201049805,23.1,NA,2.931261948
"109","Mexico","MEX",567192151.5,3.16097116,5.473900232,1.41,16394.63067,1051.515253,74.966,25.9,2.3,79.2484588623047,5.16543006896973,85.0917587280273,104.651443481445,1.02208995819092,32.0080795288086,9.81,4.82,4.15,117274000,74.92,41.7,116146768,13.6,98.4165573120117,98.5066604614258,NA,NA,27.07287629
"110","Micronesia (country)","FSM",3814250,11.58813926,5.70050772,3.08,3343.876355,444.7506964,66.817,20.200001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105000,NA,NA,NA,NA,NA,NA,NA,NA,5.659744071
"111","Moldova","MDA",987544,5.51752278,0.020329295,1.44,4150.504763,501.6483238,70.581,34.200001,1.27,85.1498336791992,8.34895992279053,88.1958694458008,93.7979736328125,1.63802003860474,NA,8.76,NA,NA,4076000,40.55,36.54,3519266,NA,NA,NA,NA,25.7,6.575331687
"112","Mongolia","MNG",1169241,2.2605149,0.077046794,1.91,9788.825022,421.3681159,68.217,25.700001,2.77,NA,5.19520998001099,NA,116.917663574219,0.310420006513596,NA,19.66,NA,NA,2825000,63.26,53.72,2844081,NA,NA,NA,38.7,35.6,9.253881136
"113","Montenegro","MNE",2235844,4.47237839,0.080991928,0.51,14066.4356,979.6898021,75.823,36.400002,1.73,93.1991729736328,NA,91.3880920410156,95.2785415649414,NA,NA,NA,NA,NA,626000,45.91,34.62,632796,NA,99.3607864379883,99.0526123046875,24.8,19.3,3.631997815
"114","Morocco","MAR",66327727,2.18146636,0.378535871,2.51,6791.335135,425.1429937,74.97,26.299999,2.58,62.2574615478516,NA,69.0629501342773,116.508682250977,NA,NA,5.35,NA,NA,33242000,67.23,22.28,32598536,NA,88.8294219970703,74.0342864990234,NA,4.3,1.242761712
"115","Mozambique","MOZ",4760713834,2.77638277,16.55116531,6.35,994.1248942,56.55687427,53.931,17,5.47,21.6310691833496,6.07551002502441,24.4109306335449,104.001586914063,NA,27.3816699981689,0.26,NA,NA,24863000,60.69,62.74,24475186,NA,NA,NA,NA,NA,6.897853854
"116","Myanmar","MMR",NA,0.8196291,3.871329281,4.56,4148.698196,85.14629454,64.453,26.299999,2.32,NA,NA,NA,NA,NA,64.8559036254883,5.15,NA,NA,51414000,NA,NA,48724387,NA,NA,NA,NA,NA,2.061632592
"117","Namibia","NAM",88299194,4.85409775,7.741746867,3.82,8967.163152,743.4864042,59.387,19.9,3.59,58.0817108154297,NA,NA,109.513000488281,1.92754995822906,NA,0.76,NA,NA,2195000,53.33,43.06,2364433,NA,93.4585189819336,95.346321105957,25.6,NA,16.3365614
"118","Nepal","NPL",339468250,2.4668546,2.097848881,3.42,2103.353638,126.9398395,68.426,21.299999,2.38,74.9781188964844,3.76116991043091,64.6816864013672,142.64192199707,0.502489984035492,NA,1.75,NA,NA,26989000,NA,NA,31011137,NA,89.8840179443359,80.2068328857422,NA,17.2,1.677465357
"119","Netherlands","NLD",NA,9.52842158,0.326733316,0.36,45411.35235,5115.013393,81.212,40.799999,1.76,NA,5.4756498336792,130.175903320313,107.579963684082,1.55833005905151,22.9999103546143,15.63,NA,NA,16792000,67.01,55.6,16714228,NA,NA,NA,28.3,NA,0.97700041
"120","New Zealand","NZL",NA,9.54766661,0.080153738,0.5,33369.26946,3726.998931,81.233,36.599998,2.07,NA,7.15267992019653,118.57006072998,98.574951171875,1.88724005222321,35.0102386474609,15.5,NA,NA,4468000,69.04,57.96,4461257,5.9,NA,NA,NA,NA,1.361515269
"121","Nicaragua","NIC",96643386,4.26016257,2.238866477,1.77,4453.253517,359.1924492,72.951,23.1,2.34,NA,NA,NA,NA,1.17037999629974,NA,10.33,NA,NA,5983000,NA,NA,5954898,NA,NA,NA,49.7,NA,8.90864307
"122","Niger","NER",1560974184,2.2118347,8.161074968,5.76,862.8663997,51.95151069,58.79,15,7.42,11.9315900802612,4.32767009735107,15.5687799453735,69.3842391967773,0.469260007143021,NA,0.51,NA,NA,17795000,NA,NA,16644339,NA,NA,NA,NA,NA,4.904294864
"123","Nigeria","NGA",23789918320,1.03316953,12.02008632,7.57,5339.451668,178.3101464,51.786,17.9,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,167228992,NA,NA,166629383,NA,NA,NA,NA,NA,3.776878065
"124","North Korea","PRK",NA,NA,1.945474835,1.98,NA,NA,70.454,33,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,24801000,NA,NA,24553672,NA,NA,NA,NA,NA,2.907984329
"125","Norway","NOR",NA,7.773856,0.317734827,0.24,63003.4109,6116.47888,81.512,38.700001,1.85,100.60572052002,7.36425018310547,110.720718383789,99.8311614990234,1.99974000453949,30.5583896636963,12.16,NA,NA,5014000,71.64,66.64,4960482,6.4,NA,NA,31.2,NA,0.866499435
"126","Oman","OMN",NA,2.07995677,0.14926855,0.98,43030.17781,1073.913927,76.149,26.200001,2.88,95.5134735107422,NA,NA,106.831840515137,NA,NA,NA,NA,NA,3498000,NA,NA,2904037,NA,NA,NA,NA,NA,0.593469341
"127","Pakistan","PAK",1156387671,1.01846302,1.664936145,6.97,4367.451996,123.3250287,65.849,21.4,3.74,44.956371307373,2.13628005981445,38.2846603393555,91.4150695800781,NA,NA,4.43,NA,NA,187280000,NA,NA,179951140,NA,78.0424194335938,63.1368103027344,NA,6,5.356985459
"128","Palestine","PSE",280867.5,NA,0.384180535,1.94,4841.813486,NA,73.041,18.200001,4.28,77.9552001953125,5.13267993927002,83.0920333862305,94.1372680664063,NA,45.0162582397461,NA,NA,NA,4242000,45.97,9.75,NA,NA,99.2598571777344,99.3669967651367,15.5,1.2,6.132164906
"129","Panama","PAN",37349136,4.9715198,3.099880704,1.62,18441.35151,1320.360655,77.188,27.200001,2.6,73.8649215698242,NA,85.640510559082,106.218208312988,NA,41.7141189575195,14.37,7.17,6.99,3771000,77.27,45.65,3624991,NA,NA,NA,46.5,NA,21.48355625
"130","Papua New Guinea","PNG",623782445,3.65327954,12.43261379,4.83,3230.318722,114.8793174,62.604,20.9,3.87,62.5336685180664,NA,40.346321105957,114.735412597656,NA,NA,0.54,NA,NA,7631000,NA,NA,7170112,NA,NA,NA,NA,NA,12.15616737
"131","Paraguay","PRY",50882095,4.59860124,5.128919968,2.08,7312.40983,769.2427259,73.068,23.299999,2.63,73.9089508056641,4.96303987503052,76.5734786987305,105.986167907715,0.698459982872009,NA,3.88,5.24,4.86,6422000,80.17,56.65,6682943,NA,NA,NA,NA,NA,12.01066162
"132","Peru","PER",236350348,2.84664765,2.694058508,1.44,10943.91927,571.7056344,74.981,25.9,2.5,80.5217819213867,2.92276000976563,93.4310531616211,101.441421508789,0.393559992313385,NA,12.27,4.96,3.7,29507000,81.95,67.24,29733829,NA,NA,NA,NA,NA,4.033620346
"133","Philippines","PHL",1824562438,1.38625636,6.201224008,2.39,5988.804388,274.4892936,70.149,23.1,3.07,NA,NA,NA,NA,NA,39.6892509460449,5.48,NA,NA,97213000,72.69,46.55,96471461,NA,NA,NA,41.1,NA,14.50839367
"134","Poland","POL",0,4.57751554,0.127828319,0.46,23218.1113,1544.559029,76.968,38.099998,1.34,NA,4.81181001663208,97.44140625,101.52027130127,1.15448999404907,39.9247817993164,11.37,NA,NA,38227000,58.23,42.89,38317090,10.6,NA,NA,35,20.6,1.985591752
"135","Portugal","PRT",NA,6.23891139,0.308531509,0.3,25805.84983,2624.03726,80.513,41.599998,1.29,NA,4.94640016555786,108.95246887207,110.008628845215,1.08889997005463,38.5163497924805,3.26,8.26,7.53,10526000,55.99,46.22,10699333,16.3,99.3917999267578,99.4796371459961,27.9,NA,1.597713732
"136","Qatar","QAT",NA,1.83147767,0.04564629,0.74,125302.08,2855.522737,79.399,31.799999,2,NA,3.50744009017944,NA,NA,NA,31.0136203765869,10.05,NA,NA,2196000,95.55,50.92,1938754,NA,97.5791625976563,98.7493286132813,NA,NA,0.909519779
"137","Romania","ROU",0,4.39738629,0.184989317,0.94,18302.02629,1005.042832,74.744,39.400002,1.49,87.2970733642578,2.94603991508484,99.3621368408203,95.5405197143555,0.984799981117249,40.8415298461914,6.61,NA,NA,20227000,58.94,43.43,21387517,NA,99.0140914916992,98.9762191772461,30.8,20.1,2.265379282
"138","Russia","RUS",9930920,3.7958389,0.106469684,0.84,25156.42094,1653.680618,69.944,38,1.62,87.1583633422852,3.78973007202148,96.1664505004883,101.195411682129,NA,NA,24.74,NA,NA,143994000,70.38,60.06,142703181,NA,NA,NA,NA,NA,17.49612603
"139","Rwanda","RWA",1729595935,2.8358772,17.09810345,3.75,1521.626448,115.9307712,65.438,19.1,4.27,35.6226081848145,4.68882989883423,38.3910713195801,141.301040649414,1.12612998485565,30.0027809143066,0.53,NA,NA,10550000,NA,NA,11271786,NA,NA,NA,NA,NA,4.980891334
"140","Saint Lucia","LCA",12632796,4.2074087,2.065418198,1.61,12064.76572,873.0018097,75.138,30.299999,1.51,89.9131011962891,3.5901300907135,91.1065673828125,NA,0.189030006527901,NA,NA,NA,NA,177000,61.14,50.88,177794,NA,NA,NA,NA,NA,18.62784138
"141","Saint Vincent and the Grenadines","VCT",NA,4.40344684,4.310748398,1.77,10009.13083,863.0065033,71.879,27.9,2.02,92.8192825317383,NA,100.978866577148,105.322959899902,0.356489986181259,NA,NA,NA,NA,108000,NA,NA,109367,NA,NA,NA,NA,NA,20.10746042
"142","Samoa","WSM",158118,4.33764124,4.217217547,1.57,5644.292861,288.6519309,72.136,20.799999,4.21,102.420272827148,NA,85.71044921875,105.154022216797,NA,NA,NA,NA,NA,189000,NA,NA,184772,NA,99.0296173095703,99.4580383300781,41.6,NA,3.153495639
"143","Sao Tome and Principe","STP",9349767,2.48230437,9.911927718,3.05,2718.163543,275.6556145,68.306,17.799999,4.69,NA,6.33950996398926,59.2291488647461,114.391311645508,NA,NA,NA,NA,NA,188000,NA,NA,171878,NA,NA,NA,NA,NA,5.499141239
"144","Saudi Arabia","SAU",NA,2.75228269,0.535210265,0.9,49658.6527,1920.380701,74.254,25.9,2.78,95.2920074462891,NA,NA,102.270561218262,NA,39.7597007751465,6.67,NA,NA,29155000,75.54,15.97,28705133,NA,NA,NA,NA,NA,0.86362497
"145","Senegal","SEN",1203154537,2.17986622,7.566617055,3.93,2187.17909,95.01243387,65.448,18.1,5,33.9966888427734,5.93447017669678,NA,81.1581726074219,1.37602996826172,NA,1.25,NA,NA,13402000,NA,NA,13107945,NA,73.9665069580078,58.9990196228027,NA,NA,1.030856882
"146","Serbia","SRB",1497960,6.04971324,0.092953305,0.62,12898.70491,1266.62247,74.619,38.799999,1.58,102.665901184082,4.42657995223999,94.1696166992188,100.571311950684,1.33385002613068,37.2793617248535,8.97,NA,NA,8940000,42.78,28.73,9846582,NA,99.3454437255859,99.2699127197266,NA,14.3,2.705186635
"147","Seychelles","SYC",287109,3.79789254,1.290416483,1.24,22618.01239,919.6957731,73.041,31.299999,2.37,NA,NA,80.8899993896484,108.844131469727,NA,NA,NA,NA,NA,93000,NA,NA,87169,NA,NA,NA,NA,NA,6.196710604
"148","Sierra Leone","SLE",530713358,1.98087849,23.1954355,9.98,1402.697094,179.022627,51.018,17.799999,4.92,54.2148284912109,2.87204003334045,49.1665115356445,128.320404052734,0.508390009403229,NA,1.22,NA,NA,6713000,NA,NA,6126450,NA,NA,NA,NA,NA,1.488977012
"149","Singapore","SGP",NA,1.50107774,0.0113359,0.22,76285.56992,3258.996796,82.254,37.299999,1.26,NA,3.11265993118286,NA,NA,1.08984005451202,NA,29.71,NA,NA,5369000,73.43,55.27,5256278,NA,99.8840408325195,99.8017425537109,NA,NA,0.529489201
"150","Slovakia","SVK",4502202,5.67922105,0.071699473,0.55,26218.4716,2064.596533,76.067,37.299999,NA,86.2756118774414,3.90920996665955,93.3659210205078,101.627891540527,0.810060024261475,35.6285591125488,8.76,NA,NA,5415000,59.13,43.32,5480332,16,NA,NA,30.4,14,2.661634371
"151","Slovenia","SVN",0,6.80388719,0.013096137,0.23,27976.91631,2616.847383,80.001,41.5,1.57,95.9445877075195,5.64783000946045,97.8559494018555,98.9379119873047,1.33759999275208,29.4798793792725,13.25,NA,NA,2058000,57.75,47.34,2040057,NA,NA,NA,40.3,18.8,1.08141699
"152","Solomon Islands","SLB",43635020,5.09469496,6.500087574,2.04,2119.467968,112.9780315,71.296,19.5,4.1,63.5813598632813,NA,48.4367904663086,113.270011901855,NA,NA,NA,NA,NA,556000,NA,NA,566481,NA,NA,NA,NA,NA,5.477783615
"153","Somalia","SOM",NA,NA,27.98025627,9.16,NA,NA,54.713,16.1,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,12715000,NA,NA,9797445,NA,NA,NA,NA,NA,12.24877789
"154","South Africa","ZAF",1750222012,4.27629351,5.10311414,3.61,12215.25187,1097.427426,60.06,24.799999,2.55,NA,6.3716402053833,91.9577331542969,97.6297607421875,0.679589986801147,40.4559783935547,0.32,NA,NA,52833000,46.59,32.98,50738255,NA,98.4306411743164,99.1521377563477,34.8,NA,30.90263759
"155","South Korea","KOR",NA,0.91707714,0.105769642,0.33,31776.89703,2245.553976,81.137,38,1.22,NA,4.61822986602783,95.9358978271484,101.362648010254,NA,27.4189395904541,30.04,22.46,15.12,50061000,70.77,48.43,48588326,36.3,NA,NA,NA,NA,1.709916953
"156","South Sudan","SSD",3087732465,NA,27.81327717,6.37,1550.269284,50.44431903,55.791,18.1,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10114000,NA,NA,10386101,NA,NA,NA,NA,NA,18.73105639
"157","Spain","ESP",NA,6.7346152,0.13220948,0.3,31109.18746,2997.551666,82.384,40.599998,1.35,NA,4.43187999725342,131.034164428711,103.546768188477,1.12929999828339,30.88916015625,14.96,23.02,18.71,47063000,50.02,40.06,46771596,NA,99.6546478271484,99.7459716796875,28.8,NA,0.822220144
"158","Sri Lanka","LKA",41067683,1.21959941,0.70614139,0.93,9980.022952,288.0044676,75.796,30.4,2.14,92.4898681640625,1.49617004394531,99.6474380493164,100.095802307129,0.28218999505043,40.9030494689941,8.51,NA,NA,20533000,72.85,30.89,21223550,NA,NA,NA,NA,NA,3.932596568
"159","Sudan","SDN",656412313.5,1.87179556,1.885069731,4.92,4097.068622,262.379384,63.542,18.299999,4.77,45.839771270752,NA,40.2119216918945,69.1164398193359,NA,42.4131889343262,1.87,NA,NA,36194000,NA,NA,35335982,NA,NA,NA,NA,NA,2.262809771
"160","Suriname","SUR",52523609.5,3.21586169,2.362746177,2.05,15132.25261,955.9659008,70.851,27.200001,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,541000,69.8,43.77,534175,NA,NA,NA,NA,NA,9.656086057
"161","Swaziland","SWZ",139551618,6.29539313,9.696853073,5.13,7528.841673,526.6362255,49.862,19.200001,3.36,46.0076904296875,NA,60.6712913513184,114.339881896973,1.15412998199463,NA,1.64,NA,NA,1079000,NA,NA,1220408,NA,NA,NA,NA,NA,28.36848931
"162","Sweden","SWE",NA,9.95552109,0.278566195,0.25,43308.21447,5007.480762,81.834,40.700001,1.91,94.7001266479492,7.65618991851807,98.0395889282227,101.975357055664,1.92183005809784,32.2980117797852,14.93,NA,NA,9543000,67.85,62.96,9495392,15.1,NA,NA,34.5,NA,1.238666641
"163","Switzerland","CHE",NA,7.49878485,0.202005406,0.39,56149.67086,6173.036453,82.626,41.599998,1.52,95.913330078125,5.03337001800537,96.2256622314453,102.909339904785,1.25215995311737,NA,17.88,NA,NA,8008000,71.31,57.96,7733709,19.3,NA,NA,30.9,NA,0.720027545
"164","Tajikistan","TJK",286521605.5,1.87760452,0.170510691,3.43,2324.369287,152.4609277,69.34,21.299999,3.49,86.2967224121094,4.01803016662598,86.8061065673828,98.9506225585938,0.403690010309219,NA,3.74,NA,NA,7875000,NA,NA,7078755,NA,NA,NA,NA,9.6,2.824313834
"165","Tanzania","TZA",4797653805,2.79046023,15.25444211,4.48,2227.828714,127.1119071,60.47,17.200001,5.29,39.4913711547852,NA,34.2448997497559,90.1047592163086,1.30798995494843,NA,0.36,NA,NA,47053000,NA,NA,47656367,NA,NA,NA,NA,14,5.959350162
"166","Thailand","THA",4657546,3.24811916,0.46615799,1.04,14448.30501,573.3940428,74.992,35.5,1.53,NA,4.53669023513794,87.1241226196289,97.4781188964844,0.579540014266968,NA,10.47,NA,NA,67836000,80.6,64.88,69892142,NA,NA,NA,NA,NA,6.843409631
"167","Timor","TLS",35250605,0.91575551,5.901396861,4.82,9977.079097,95.84250102,67.72,17.1,NA,75.2894592285156,NA,71.8170471191406,135.2060546875,1.09411001205444,NA,NA,NA,NA,1133000,NA,NA,NA,NA,NA,NA,NA,NA,2.663545994
"168","Togo","TGO",1044827100,1.94779734,10.50092053,5.61,1259.334474,67.31487705,58.661,18.6,4.73,NA,4.72764015197754,NA,128.482025146484,0.740059971809387,NA,1.51,NA,NA,6774000,NA,NA,6283092,NA,86.9166793823242,72.708122253418,NA,NA,5.854096491
"169","Tonga","TON",131765,3.64053035,5.513618258,1.5,5128.53418,231.4315242,70.242,21.200001,3.82,NA,NA,91.14111328125,110.411590576172,NA,NA,2.91,NA,NA,103000,NA,NA,104891,NA,99.366569519043,99.5104293823242,NA,NA,2.220744752
"170","Trinidad and Tobago","TTO",1208077,2.89498885,1.342782512,2.65,31254.78873,1706.688453,72.382,31.9,1.8,NA,NA,NA,NA,NA,NA,6.48,NA,NA,1345000,NA,NA,1350999,NA,NA,NA,NA,NA,26.74034998
"171","Tunisia","TUN",17942232,4.15787253,0.223737075,1.36,10404.22409,766.0400576,75.376,29.200001,2.21,NA,6.25037002563477,NA,109.868606567383,1.76217997074127,42.866870880127,7.38,NA,NA,10847000,60.03,19.17,10704948,NA,98.236328125,96.3175888061523,NA,8.5,0.651565027
"172","Turkey","TUR",5190847.5,4.1491433,0.517511332,1.43,20282.02838,948.7019637,75.373,28.299999,2.12,95.3690719604492,4.41900014877319,85.1072387695313,98.6066207885742,NA,34.3894004821777,5.28,NA,NA,74651000,64.98,26.32,74508771,NA,99.4467010498047,97.9363021850586,14.3,5.4,2.084376607
"173","Turkmenistan","TKM",17568435.5,1.27337639,0.09368776,4.71,12235.36862,248.8387752,67.167,24.4,2.94,NA,3.04924988746643,NA,NA,NA,NA,NA,NA,NA,5268000,NA,NA,5169660,NA,NA,NA,NA,NA,4.072165422
"174","Uganda","UGA",2550734610,2.15389932,13.10589693,4.51,1608.439799,133.5744714,59.017,15.3,5.96,NA,2.48313999176025,NA,NA,0.254590004682541,NA,1.23,NA,NA,34559000,NA,NA,35620977,NA,NA,NA,NA,15.4,4.245034236
"175","Ukraine","UKR",0,4.12524044,0.104549878,0.92,8322.173034,636.3530089,70.464,39.5,1.49,99.474967956543,6.69232988357544,97.1062927246094,107.957572937012,NA,30.0863990783691,24.55,NA,NA,45454000,NA,NA,44940268,NA,NA,NA,NA,18.8,8.016280733
"176","United Arab Emirates","ARE",NA,2.55002589,0.164935905,0.7,59419.08949,1993.590901,76.711,31.9,1.82,NA,NA,NA,101.423202514648,NA,45.8016586303711,8.54,NA,NA,9142000,NA,NA,8105873,NA,NA,NA,NA,NA,1.23460079
"177","United Kingdom","GBR",NA,7.80263316,0.073460905,0.41,36892.85031,3322.940065,80.739,39.599998,1.89,NA,NA,91.3931427001953,108.243148803711,0.973940014839172,30.5577507019043,15.31,NA,NA,64525000,63.14,52.24,62798099,17.8,NA,NA,32.4,NA,0.556427725
"178","United States","USA",NA,8.04235781,0.649532141,0.61,50520.34829,8789.767513,78.862,36.900002,1.9,NA,5.19485998153687,94.9803237915039,99.5644073486328,1.3903900384903,30.3907203674316,26.76,NA,NA,314044000,64.39,53.13,315791284,19.1,NA,NA,39.2,NA,5.678312409
"179","Uruguay","URY",2593690,5.94708868,1.570492689,0.85,18477.37913,1640.65921,77.004,33.700001,2.05,NA,NA,NA,NA,NA,NA,3.5,6.72,6.14,3379000,71.3,51.95,3391428,NA,98.6134033203125,99.120979309082,36.5,NA,6.383190273
"180","Uzbekistan","UZB",1542218477,3.12737145,0.03271631,2.78,4765.860109,323.7948448,70.155,24.5,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,29449000,NA,NA,28077486,NA,NA,NA,NA,13.4,2.524154229
"181","Vanuatu","VUT",6206825,3.16739626,7.407017474,2.45,2899.164415,109.2798307,69.421,21.200001,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,NA,NA,251674,NA,NA,NA,NA,NA,1.71884821
"182","Venezuela","VEN",1324862400,1.67563803,1.516335191,1.46,17678.8125,865.2300762,73.037,25.799999,2.42,77.953971862793,NA,84.3941497802734,101.530693054199,NA,NA,2.96,NA,NA,29361000,64.63,41.16,29890694,NA,96.8898620605469,98.2363662719727,NA,NA,52.72493464
"183","Vietnam","VNM",357220463,3.72212414,0.097141067,1.79,4821.137231,342.1910244,74.958,28.5,1.96,78.4327697753906,5.53328990936279,NA,106.958633422852,0.924910008907318,25.2475299835205,3.27,NA,NA,89802000,NA,NA,89730274,NA,NA,NA,NA,NA,1.845484342
"184","Yemen","YEM",NA,1.57162782,2.472157161,4.32,3793.412118,210.6413092,65.92,18,4.44,48.1689186096191,NA,46.236141204834,94.4250335693359,NA,NA,1.5,NA,NA,24473000,NA,NA,NA,NA,NA,NA,NA,1.6,3.060375293
"185","Zambia","ZMB",3019621056,2.53637046,21.40492908,4.96,3509.413319,175.0925745,58.502,16.5,5.24,55.3490791320801,NA,NA,109.210647583008,NA,NA,0.49,NA,NA,14465000,NA,NA,13883577,NA,NA,NA,NA,23.8,6.202861112
"186","Zimbabwe","ZWE",427411678.5,2.78944514,31.16849648,4.84,1871.36634,112.2177969,55.032,18.6,4,64.4760131835938,7.29442977905273,46.6731796264648,102.446983337402,0.450210005044937,26.9708404541016,0.38,NA,NA,13115000,NA,NA,13013678,NA,89.5905838012695,92.1245574951172,NA,NA,8.984186721
